id;partenaire;domaine;description;date;dure;zone;type;nature;validation_dircoop;validation_recteur
1;green;Poitou-Charentes Pompe;Rial;2021-11-07T06:08:08;Franche-Comté orange;Berkshire;a;empower;INVALIDE;TRAITEMENT
2;Computer;lime strategic;Electronics platforms;2021-11-07T14:11:58;Borders;program Saint-Séverin;even-keeled Salvador;navigate b program;TRAITEMENT;INVALIDE
3;Bretagne Refined Public-key;alarm Account;Saint-Bernard deliver;2021-11-06T21:35:24;Cambridgeshire;Concrete foreground encryption;withdrawal Health Gloves;Dollar withdrawal reciprocal;VALIDE;INVALIDE
4;cross-platform alliance;generating Poitou-Charentes Borders;Outdoors Personal;2021-11-06T23:49:10;Card;deposit Card firewall;revolutionize;SCSI purple Directeur;INVALIDE;VALIDE
5;European;pink;Synergistic;2021-11-07T14:59:45;Frozen;Ingenieur a;a;directional;TRAITEMENT;INVALIDE
6;Auvergne;SDD;Savings;2021-11-07T00:31:14;Concrete Picardie;olive Cambridgeshire;transmit override;Steel driver;TRAITEMENT;TRAITEMENT
7;Cambridgeshire;Agent CSS;a Gloves Afghanistan;2021-11-07T12:13:27;monitoring vortals;Account Lettonie;Electronics Clothing;Fantastic Concrete Concrete;VALIDE;TRAITEMENT
8;cross-platform;solid Metal Reactive;Practical Ruble;2021-11-07T00:37:02;haptic digital;compressing;ubiquitous;Small repurpose;INVALIDE;VALIDE
9;connecting;Philippines superstructure solid;Baby Frozen Account;2021-11-07T13:30:40;navigate payment payment;sensor Implemented network;de Towels embrace;cutting-edge équatoriale;INVALIDE;INVALIDE
10;Frozen Bedfordshire;matrix;streamline Administrateur;2021-11-07T18:32:08;Concrete Buckinghamshire Unbranded;national;Ball e-business a;deposit;INVALIDE;TRAITEMENT
